Title,Price,Subscribers,Reviews,Length,PercentReviewers
PHP For Beginners : Learn PHP From Scratch!,100,1825,17,3.5,0.93
Bootstrap 4.0 New Features: Build Responsive Website,40,2296,28,1.5,1.22
ASP.NET MVC 5 Project - CMS and Shopping Cart with Paypal,30,550,97,9.0,17.64
Professional RESTful API Design using Python Flask,120,578,25,4.5,4.33
HTML5 APIs For JavaScript - A Course For Web Developers ,50,7706,62,5.0,0.8
Learn Python Django - A Hands-On Course,50,1339,21,2.0,1.57
Comprehensive JavaScript Programming,20,6760,84,3.0,1.24
Security for your WordPress site,85,1096,8,38.0,0.73
Try Django 1.9 | Build a Blog and Learn Python's #1 Library,50,7407,172,20.0,2.32
Accelerated ES6 JavaScript Training,110,5811,850,6.0,14.63
AWS Serverless APIs & Apps - A Complete Introduction,145,2145,166,8.0,7.74
Python and Django Full Stack Web Developer Bootcamp,200,11832,1883,31.5,15.91
The Complete Elixir and Phoenix Bootcamp,50,5279,1375,14.5,26.05
Build a Real-world App with ASP.NET Core and Angular 2 (4+),190,5332,828,10.5,15.53
REST APIs with Flask and Python,110,5151,737,12.5,14.31
Angular 4 (formerly Angular 2) - The Complete Guide,190,73783,19649,22.0,26.63
Build Websites from Scratch with HTML & CSS,145,51257,1955,8.0,3.81
PHP for Beginners -Become a PHP Master - Project Included,200,28880,4316,30.5,14.94
The Professional Ruby on Rails Developer,100,17334,676,17.0,3.9
The Complete Ruby on Rails Developer Course,195,33677,3809,31.5,11.31
Docker Technologies for DevOps and Developers,30,19210,3137,3.0,16.33
JavaScript programming: JavaScript for beginners,55,2215,223,5.0,10.07
JSON in Action: Build JSON-Based Applications,50,1322,171,3.5,12.93
Learn Ruby Programming The Easy Way,35,3485,22,2.0,0.63
Learn OAuth 2.0 - Get started as an API Security Expert,95,2185,283,3.5,12.95
AngularJS For .Net Developers From Scratch,50,2494,303,4.5,12.15
"Jekyll: make fast, secure static sites and blogs with Jekyll",45,2091,86,2.5,4.11
HTML and CSS BootCamp for Beginners,30,1777,35,6.5,1.97
Hosting Django: Amazon Web Services (AWS) Fundamentals,45,2573,103,5.5,4.0
Angular Advanced MasterClass & FREE E-Book,150,228,9,6.5,3.95
Learn Responsive Web Development from Scratch,Free,59639,2692,4.5,4.51
Build WordPress Plugin to extend Beaver Builder,50,1705,26,2.0,1.52
Coding Made Easy: A Beginners Guide To JavaScript,40,1950,33,1.0,1.69
The Complete Developers Guide to MongoDB,150,10945,1286,13.5,11.75
Electron for Desktop Apps: The Complete Developer's Guide,50,2606,241,8.0,9.25
Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),190,17671,4675,18.0,26.46
"React JS, Angular & Vue JS - Quickstart & Comparison",160,2273,288,8.0,12.67
The Complete JavaScript Course: Build a Real-World Project,195,27801,4340,17.5,15.61
Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,150,17297,3166,8.5,18.3
Angular 2 with TypeScript for Beginners: The Pragmatic Guide,150,40070,8341,9.5,20.82
Meteor and React for Realtime Apps,140,6527,1384,9.0,21.2
The Web Developer Bootcamp,200,121584,27445,43.0,22.57
AngularJS JumpStart with Dan Wahlin,75,17802,2144,10.0,12.04
The Complete Web Developer Course 2.0,200,114512,22412,30.5,19.57
Ultimate Web Designer & Developer Course: Build 23 Projects!,200,33788,4434,32.5,13.12
ExpressJS Fundamentals,Free,21245,914,1.0,4.3
REST WCF Service in ASP.NET,Free,7905,561,41.0,7.1
Projects in Node.js - Learn by Example,195,869,99,5.0,11.39
Building Data Visualizations with D3 and Angular 2,125,293,30,3.5,10.24
Learn Object Oriented PHP By Building a Complete Website,Free,36322,2618,4.5,7.21
Web Programming Course : Asp.Net MVC,100,2760,76,3.5,2.75
Learn Spring Framework Practically - Hands On Recipies,145,522,50,5.5,9.58
One-stop Ruby on Rails: Build Web Applications from Scratch,145,1628,162,18.5,9.95
Learn what's new in PHP 7,Free,12336,271,3.5,2.2
Dive Into Docker: The Docker Course for Developers,Free,6437,313,1.5,4.86
"Basic Concepts of Web Development, HTTP and Java Servlets",35,2797,59,1.0,2.11
The Most Comprehensive Web Development Course,200,333,22,42.0,6.61
Learn and Understand AngularJS,175,59361,11580,7.0,19.51
JavaScript: Understanding the Weird Parts,175,79612,16976,11.5,21.32
Webpack 2: The Complete Developer's Guide,75,8964,1893,5.5,21.12
Build Responsive Real World Websites with HTML5 and CSS3,195,43977,7106,12.0,16.16
ES6 Javascript: The Complete Developer's Guide,80,13010,2709,6.5,20.82
Learn and Understand NodeJS,195,58208,11123,13.0,19.11
Understanding TypeScript,110,9132,1560,7.0,17.08
Advanced React and Redux,140,21998,3326,12.0,15.12
Modern React with Redux,180,50815,15117,26.5,29.75
Angular Styling & Animations (for Angular 2 and Angular 4),120,4138,307,6.0,7.42
The Complete ASP.NET MVC 5 Course,190,20652,6357,7.5,30.78
GraphQL with React: The Complete Developers Guide,150,6412,987,13.0,15.39
"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",Free,2464,17,44.0,0.69
WordPress in under an hour - Create/manage your own website!,Free,6474,86,1.0,1.33
Twitter Bootstrap 2 for Beginners,20,2388,139,1.0,5.82
Bootstrap Tutorial - Essentials From Basic to Advanced,195,1494,23,7.5,1.54
Create an Engaging Website with Twitter Bootstrap 2.x,20,1463,56,1.0,3.83
Javascript :basics for beginners,30,1057,22,37.0,2.08
CSS Tutorial For Beginners: Style Your Wordpress Templates,35,1049,22,3.5,2.1
HTML5 And CSS3 - Build Modern Responsive Websites,175,109,17,9.5,15.6
PSD to HTML5/CSS3 using Twitter Bootstrap 3! ,95,2073,24,2.0,1.16
Web Development: Make A Website That Will Sell For Thousands,50,1116,62,7.5,5.56
WordPress Basics to Business: Share and Sell your Expertise,50,1125,10,3.5,0.89
PHP Zend Framework 2:Creating a CRUD Application,40,802,6,38.0,0.75
JavaScript Fundamentals,Free,4409,71,5.0,1.61
Building a Website With Jekyll,20,686,19,3.0,2.77
Big Data and Apache Hadoop for Developers - Fundamentals,30,1154,89,3.0,7.71
Wordpress Development : Create a Custom Wordpress Website,120,885,3,1.5,0.34
How to Make a Wordpress Website 2017,Free,2437,137,34.0,5.62
RESTful Services with ASP.NET Web API,85,716,59,2.0,8.24
Web Hosting Fundamentals,20,1867,19,37.0,1.02
Learning Path: React: Make Stunning React Websites,200,91,5,6.5,5.49
Administering Microsoft SQL Server 2012 Databases - 70-462,60,586,65,5.5,11.09
PHP CodeIgniter:CRUD concepts in MVC,40,601,4,35.0,0.67
Adobe Experience Manager CMS Basics,35,81,14,1.0,17.28
Introduction to Frontend Web Development For  Beginners,145,1018,28,4.5,2.75
PHP: Complete Login and Registration System with PHP & MYSQL,200,1448,173,7.5,11.95
JavaScript Complete Guide to learning JavaScript,200,1296,22,5.5,1.7
Advanced Scalable Python Web Development Using Flask,120,1299,56,14.0,4.31
jQuery for Absolute Beginners - Lite,20,1769,49,35.0,2.77
HTML Complete Course - Beginner to Expert,Free,20073,615,1.5,3.06
Cross-Platform Development with ASP.NET Core 1.0 MVC,35,601,126,5.5,20.97
